Date,Price,Open,High,Low,Vol.,Change %
04/09/2020,306.0,306.0,306.0,306.0,,-2.86%
04/14/2020,298.0,298.0,298.0,298.0,,-2.61%
04/15/2020,290.0,290.0,290.0,290.0,,-2.68%
04/16/2020,281.0,281.0,281.0,281.0,,-3.10%
04/17/2020,275.0,275.0,275.0,275.0,,-2.14%
04/20/2020,269.0,269.0,269.0,269.0,,-2.18%
04/21/2020,263.0,263.0,263.0,263.0,,-2.23%
04/22/2020,258.0,258.0,258.0,258.0,,-1.90%
04/23/2020,253.0,253.0,253.0,253.0,,-1.94%
04/24/2020,247.0,247.0,247.0,247.0,,-2.37%
04/27/2020,245.0,245.0,245.0,245.0,,-0.81%
04/28/2020,241.0,241.0,241.0,241.0,,-1.63%
04/29/2020,239.0,239.0,239.0,239.0,,-0.83%
04/30/2020,238.0,238.0,238.0,238.0,,-0.42%
05/01/2020,239.0,239.0,239.0,239.0,,0.42%
05/04/2020,234.0,234.0,234.0,234.0,,-2.09%
05/05/2020,233.0,233.0,233.0,233.0,,-0.43%
05/06/2020,231.0,231.0,231.0,231.0,,-0.86%
05/07/2020,228.0,228.0,228.0,228.0,,-1.30%
05/11/2020,230.0,230.0,230.0,230.0,,0.88%
05/12/2020,228.0,228.0,228.0,228.0,,-0.87%
05/13/2020,229.0,229.0,229.0,229.0,,0.44%
05/14/2020,230.0,230.0,230.0,230.0,,0.44%
05/15/2020,230.0,230.0,230.0,230.0,,0.00%
05/18/2020,233.0,233.0,233.0,233.0,,1.30%
05/19/2020,237.0,237.0,237.0,237.0,,1.72%
05/20/2020,239.0,239.0,239.0,239.0,,0.84%
05/21/2020,243.0,243.0,243.0,243.0,,1.67%
05/22/2020,249.0,249.0,249.0,249.0,,2.47%
05/26/2020,257.0,257.0,257.0,257.0,,3.21%
05/27/2020,262.0,262.0,262.0,262.0,,1.95%
05/28/2020,267.0,267.0,267.0,267.0,,1.91%
05/29/2020,271.0,271.0,271.0,271.0,,1.50%
06/01/2020,274.0,274.0,274.0,274.0,,1.11%
06/02/2020,279.0,279.0,279.0,279.0,,1.82%
06/03/2020,285.0,285.0,285.0,285.0,,2.15%
06/04/2020,290.0,290.0,290.0,290.0,,1.75%
06/05/2020,294.0,294.0,294.0,294.0,,1.38%
06/08/2020,299.0,299.0,299.0,299.0,,1.70%
06/09/2020,304.0,304.0,304.0,304.0,,1.67%
06/10/2020,309.0,309.0,309.0,309.0,,1.64%
06/11/2020,315.0,315.0,315.0,315.0,,1.94%
06/12/2020,321.0,321.0,321.0,321.0,,1.90%
06/15/2020,329.0,329.0,329.0,329.0,,2.49%
06/16/2020,336.0,336.0,336.0,336.0,,2.13%
06/17/2020,344.0,344.0,344.0,344.0,,2.38%
06/18/2020,354.0,354.0,354.0,354.0,,2.91%
06/19/2020,363.0,363.0,363.0,363.0,,2.54%
06/22/2020,368.0,368.0,368.0,368.0,,1.38%
06/23/2020,374.0,374.0,374.0,374.0,,1.63%
06/24/2020,381.0,381.0,381.0,381.0,,1.87%
06/25/2020,385.0,385.0,385.0,385.0,,1.05%
06/26/2020,389.0,389.0,389.0,389.0,,1.04%
06/29/2020,395.0,395.0,395.0,395.0,,1.54%
06/30/2020,401.0,401.0,401.0,401.0,,1.52%
07/01/2020,405.0,405.0,405.0,405.0,,1.00%
07/02/2020,408.0,408.0,408.0,408.0,,0.74%
07/03/2020,412.0,412.0,412.0,412.0,,0.98%
07/06/2020,414.0,414.0,414.0,414.0,,0.49%
07/07/2020,417.0,417.0,417.0,417.0,,0.72%
07/08/2020,420.0,420.0,420.0,420.0,,0.72%
07/09/2020,426.0,426.0,426.0,426.0,,1.43%
07/10/2020,435.0,435.0,435.0,435.0,,2.11%
07/13/2020,438.0,438.0,438.0,438.0,,0.69%
07/14/2020,442.0,442.0,442.0,442.0,,0.91%
07/15/2020,448.0,448.0,448.0,448.0,,1.36%
