"Date","Price","Open","High","Low","Vol.","Change %"
"24-12-2024","923.00","923.00","923.00","923.00","","-0.97%"
"23-12-2024","932.00","932.00","932.00","932.00","","-0.85%"
"20-12-2024","940.00","940.00","940.00","940.00","","-0.42%"
"19-12-2024","944.00","944.00","944.00","944.00","","-0.32%"
"18-12-2024","947.00","947.00","947.00","947.00","","-0.21%"
"17-12-2024","949.00","949.00","949.00","949.00","","-0.63%"
"16-12-2024","955.00","955.00","955.00","955.00","","-0.42%"
"13-12-2024","959.00","959.00","959.00","959.00","","-0.21%"
"12-12-2024","961.00","961.00","961.00","961.00","","-0.10%"
"11-12-2024","962.00","962.00","962.00","962.00","","-0.52%"
"10-12-2024","967.00","967.00","967.00","967.00","","-0.41%"
"09-12-2024","971.00","971.00","971.00","971.00","","-0.31%"
"06-12-2024","974.00","974.00","974.00","974.00","","-0.51%"
"05-12-2024","979.00","979.00","979.00","979.00","","-0.31%"
"04-12-2024","982.00","982.00","982.00","982.00","","0.31%"
"03-12-2024","979.00","979.00","979.00","979.00","","0.00%"
"02-12-2024","979.00","979.00","979.00","979.00","","-0.10%"
"29-11-2024","980.00","980.00","980.00","980.00","","-0.91%"
"28-11-2024","989.00","989.00","989.00","989.00","","0.10%"
"27-11-2024","988.00","988.00","988.00","988.00","","0.30%"
"26-11-2024","985.00","985.00","985.00","985.00","","0.10%"
"25-11-2024","984.00","984.00","984.00","984.00","","0.00%"
"22-11-2024","984.00","984.00","984.00","984.00","","-0.30%"
"21-11-2024","987.00","987.00","987.00","987.00","","-0.50%"
"20-11-2024","992.00","992.00","992.00","992.00","","-0.70%"
"19-11-2024","999.00","999.00","999.00","999.00","","-0.99%"
"18-11-2024","1,009.00","1,009.00","1,009.00","1,009.00","","-0.98%"
"15-11-2024","1,019.00","1,019.00","1,019.00","1,019.00","","-0.97%"
"14-11-2024","1,029.00","1,029.00","1,029.00","1,029.00","","-0.68%"
"13-11-2024","1,036.00","1,036.00","1,036.00","1,036.00","","-1.43%"
"12-11-2024","1,051.00","1,051.00","1,051.00","1,051.00","","-1.22%"
"11-11-2024","1,064.00","1,064.00","1,064.00","1,064.00","","-1.39%"
"08-11-2024","1,079.00","1,079.00","1,079.00","1,079.00","","-1.73%"
"07-11-2024","1,098.00","1,098.00","1,098.00","1,098.00","","-1.79%"
"06-11-2024","1,118.00","1,118.00","1,118.00","1,118.00","","-1.58%"
"05-11-2024","1,136.00","1,136.00","1,136.00","1,136.00","","-1.56%"
"04-11-2024","1,154.00","1,154.00","1,154.00","1,154.00","","-0.77%"
"01-11-2024","1,163.00","1,163.00","1,163.00","1,163.00","","-1.61%"
"31-10-2024","1,182.00","1,182.00","1,182.00","1,182.00","","-2.07%"
"30-10-2024","1,207.00","1,207.00","1,207.00","1,207.00","","-1.15%"
"29-10-2024","1,221.00","1,221.00","1,221.00","1,221.00","","-1.05%"
"28-10-2024","1,234.00","1,234.00","1,234.00","1,234.00","","-0.48%"
"25-10-2024","1,240.00","1,240.00","1,240.00","1,240.00","","-0.40%"
"24-10-2024","1,245.00","1,245.00","1,245.00","1,245.00","","-0.32%"
"23-10-2024","1,249.00","1,249.00","1,249.00","1,249.00","","0.00%"
"22-10-2024","1,249.00","1,249.00","1,249.00","1,249.00","","-0.08%"
"21-10-2024","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"18-10-2024","1,250.00","1,250.00","1,250.00","1,250.00","","-0.32%"
"17-10-2024","1,254.00","1,254.00","1,254.00","1,254.00","","-0.24%"
"16-10-2024","1,257.00","1,257.00","1,257.00","1,257.00","","-0.24%"
"15-10-2024","1,260.00","1,260.00","1,260.00","1,260.00","","-0.16%"
"14-10-2024","1,262.00","1,262.00","1,262.00","1,262.00","","-0.55%"
"11-10-2024","1,269.00","1,269.00","1,269.00","1,269.00","","-0.39%"
"10-10-2024","1,274.00","1,274.00","1,274.00","1,274.00","","0.31%"
"09-10-2024","1,270.00","1,270.00","1,270.00","1,270.00","","0.47%"
"08-10-2024","1,264.00","1,264.00","1,264.00","1,264.00","","0.56%"
"07-10-2024","1,257.00","1,257.00","1,257.00","1,257.00","","-0.08%"
"04-10-2024","1,258.00","1,258.00","1,258.00","1,258.00","","-0.16%"
"03-10-2024","1,260.00","1,260.00","1,260.00","1,260.00","","-0.94%"
"02-10-2024","1,272.00","1,272.00","1,272.00","1,272.00","","-0.86%"
"01-10-2024","1,283.00","1,283.00","1,283.00","1,283.00","","-1.00%"
"30-09-2024","1,296.00","1,296.00","1,296.00","1,296.00","","-0.77%"
"27-09-2024","1,306.00","1,306.00","1,306.00","1,306.00","","-0.61%"
"26-09-2024","1,314.00","1,314.00","1,314.00","1,314.00","","-0.23%"
"25-09-2024","1,317.00","1,317.00","1,317.00","1,317.00","","0.38%"
"24-09-2024","1,312.00","1,312.00","1,312.00","1,312.00","","0.85%"
"23-09-2024","1,301.00","1,301.00","1,301.00","1,301.00","","0.93%"
"20-09-2024","1,289.00","1,289.00","1,289.00","1,289.00","","1.02%"
"19-09-2024","1,276.00","1,276.00","1,276.00","1,276.00","","0.47%"
"18-09-2024","1,270.00","1,270.00","1,270.00","1,270.00","","0.32%"
"17-09-2024","1,266.00","1,266.00","1,266.00","1,266.00","","0.08%"
"16-09-2024","1,265.00","1,265.00","1,265.00","1,265.00","","0.08%"
"13-09-2024","1,264.00","1,264.00","1,264.00","1,264.00","","0.08%"
"12-09-2024","1,263.00","1,263.00","1,263.00","1,263.00","","0.32%"
"11-09-2024","1,259.00","1,259.00","1,259.00","1,259.00","","0.08%"
"10-09-2024","1,258.00","1,258.00","1,258.00","1,258.00","","-0.08%"
"09-09-2024","1,259.00","1,259.00","1,259.00","1,259.00","","-0.08%"
"06-09-2024","1,260.00","1,260.00","1,260.00","1,260.00","","-0.47%"
"05-09-2024","1,266.00","1,266.00","1,266.00","1,266.00","","-0.39%"
"04-09-2024","1,271.00","1,271.00","1,271.00","1,271.00","","-0.70%"
"03-09-2024","1,280.00","1,280.00","1,280.00","1,280.00","","0.00%"
"02-09-2024","1,280.00","1,280.00","1,280.00","1,280.00","","-1.99%"
"30-08-2024","1,306.00","1,306.00","1,306.00","1,306.00","","-0.46%"
"29-08-2024","1,312.00","1,312.00","1,312.00","1,312.00","","-0.30%"
"28-08-2024","1,316.00","1,316.00","1,316.00","1,316.00","","-0.08%"
"27-08-2024","1,317.00","1,317.00","1,317.00","1,317.00","","-0.08%"
"23-08-2024","1,318.00","1,318.00","1,318.00","1,318.00","","0.38%"
"22-08-2024","1,313.00","1,313.00","1,313.00","1,313.00","","0.23%"
"21-08-2024","1,310.00","1,310.00","1,310.00","1,310.00","","0.08%"
"20-08-2024","1,309.00","1,309.00","1,309.00","1,309.00","","0.31%"
"19-08-2024","1,305.00","1,305.00","1,305.00","1,305.00","","0.08%"
"16-08-2024","1,304.00","1,304.00","1,304.00","1,304.00","","0.31%"
"15-08-2024","1,300.00","1,300.00","1,300.00","1,300.00","","0.23%"
"14-08-2024","1,297.00","1,297.00","1,297.00","1,297.00","","0.39%"
"13-08-2024","1,292.00","1,292.00","1,292.00","1,292.00","","-0.15%"
"12-08-2024","1,294.00","1,294.00","1,294.00","1,294.00","","-0.54%"
"09-08-2024","1,301.00","1,301.00","1,301.00","1,301.00","","-0.08%"
"08-08-2024","1,302.00","1,302.00","1,302.00","1,302.00","","-0.53%"
"07-08-2024","1,309.00","1,309.00","1,309.00","1,309.00","","-0.83%"
"06-08-2024","1,320.00","1,320.00","1,320.00","1,320.00","","-0.75%"
"05-08-2024","1,330.00","1,330.00","1,330.00","1,330.00","","-0.89%"
"02-08-2024","1,342.00","1,342.00","1,342.00","1,342.00","","-0.74%"
"01-08-2024","1,352.00","1,352.00","1,352.00","1,352.00","","-0.81%"
"31-07-2024","1,363.00","1,363.00","1,363.00","1,363.00","","-1.02%"
"30-07-2024","1,377.00","1,377.00","1,377.00","1,377.00","","-0.43%"
"29-07-2024","1,383.00","1,383.00","1,383.00","1,383.00","","-0.22%"
"26-07-2024","1,386.00","1,386.00","1,386.00","1,386.00","","-0.07%"
"25-07-2024","1,387.00","1,387.00","1,387.00","1,387.00","","0.14%"
"24-07-2024","1,385.00","1,385.00","1,385.00","1,385.00","","0.36%"
"23-07-2024","1,380.00","1,380.00","1,380.00","1,380.00","","0.44%"
"22-07-2024","1,374.00","1,374.00","1,374.00","1,374.00","","0.00%"
"19-07-2024","1,374.00","1,374.00","1,374.00","1,374.00","","0.29%"
"18-07-2024","1,370.00","1,370.00","1,370.00","1,370.00","","0.00%"
"17-07-2024","1,370.00","1,370.00","1,370.00","1,370.00","","0.29%"
"16-07-2024","1,366.00","1,366.00","1,366.00","1,366.00","","-0.15%"
"15-07-2024","1,368.00","1,368.00","1,368.00","1,368.00","","0.29%"
"12-07-2024","1,364.00","1,364.00","1,364.00","1,364.00","","0.22%"
"11-07-2024","1,361.00","1,361.00","1,361.00","1,361.00","","0.59%"
"10-07-2024","1,353.00","1,353.00","1,353.00","1,353.00","","0.45%"
"09-07-2024","1,347.00","1,347.00","1,347.00","1,347.00","","0.97%"
"08-07-2024","1,334.00","1,334.00","1,334.00","1,334.00","","-0.07%"
"05-07-2024","1,335.00","1,335.00","1,335.00","1,335.00","","-0.15%"
"04-07-2024","1,337.00","1,337.00","1,337.00","1,337.00","","-0.22%"
"03-07-2024","1,340.00","1,340.00","1,340.00","1,340.00","","-0.81%"
"02-07-2024","1,351.00","1,351.00","1,351.00","1,351.00","","-1.31%"
"01-07-2024","1,369.00","1,369.00","1,369.00","1,369.00","","-1.16%"
"28-06-2024","1,385.00","1,385.00","1,385.00","1,385.00","","-1.00%"
"27-06-2024","1,399.00","1,399.00","1,399.00","1,399.00","","-0.92%"
"26-06-2024","1,412.00","1,412.00","1,412.00","1,412.00","","0.00%"
"25-06-2024","1,412.00","1,412.00","1,412.00","1,412.00","","0.50%"
"24-06-2024","1,405.00","1,405.00","1,405.00","1,405.00","","0.50%"
"21-06-2024","1,398.00","1,398.00","1,398.00","1,398.00","","0.65%"
"20-06-2024","1,389.00","1,389.00","1,389.00","1,389.00","","1.09%"
"19-06-2024","1,374.00","1,374.00","1,374.00","1,374.00","","0.88%"
"18-06-2024","1,362.00","1,362.00","1,362.00","1,362.00","","1.19%"
"17-06-2024","1,346.00","1,346.00","1,346.00","1,346.00","","0.82%"
"14-06-2024","1,335.00","1,335.00","1,335.00","1,335.00","","1.68%"
"13-06-2024","1,313.00","1,313.00","1,313.00","1,313.00","","1.23%"
"12-06-2024","1,297.00","1,297.00","1,297.00","1,297.00","","2.05%"
"11-06-2024","1,271.00","1,271.00","1,271.00","1,271.00","","1.11%"
"10-06-2024","1,257.00","1,257.00","1,257.00","1,257.00","","0.24%"
"07-06-2024","1,254.00","1,254.00","1,254.00","1,254.00","","-0.08%"
"06-06-2024","1,255.00","1,255.00","1,255.00","1,255.00","","-0.24%"
"05-06-2024","1,258.00","1,258.00","1,258.00","1,258.00","","-0.55%"
"04-06-2024","1,265.00","1,265.00","1,265.00","1,265.00","","-0.55%"
"03-06-2024","1,272.00","1,272.00","1,272.00","1,272.00","","-0.47%"
"31-05-2024","1,278.00","1,278.00","1,278.00","1,278.00","","-0.62%"
"30-05-2024","1,286.00","1,286.00","1,286.00","1,286.00","","-0.54%"
"29-05-2024","1,293.00","1,293.00","1,293.00","1,293.00","","-1.22%"
"28-05-2024","1,309.00","1,309.00","1,309.00","1,309.00","","-1.28%"
"24-05-2024","1,326.00","1,326.00","1,326.00","1,326.00","","-1.41%"
"23-05-2024","1,345.00","1,345.00","1,345.00","1,345.00","","-1.90%"
"22-05-2024","1,371.00","1,371.00","1,371.00","1,371.00","","-0.80%"
"21-05-2024","1,382.00","1,382.00","1,382.00","1,382.00","","-0.72%"
"20-05-2024","1,392.00","1,392.00","1,392.00","1,392.00","","-0.93%"
"17-05-2024","1,405.00","1,405.00","1,405.00","1,405.00","","-1.40%"
"16-05-2024","1,425.00","1,425.00","1,425.00","1,425.00","","-1.93%"
"15-05-2024","1,453.00","1,453.00","1,453.00","1,453.00","","-1.49%"
"14-05-2024","1,475.00","1,475.00","1,475.00","1,475.00","","-0.67%"
"13-05-2024","1,485.00","1,485.00","1,485.00","1,485.00","","0.00%"
"10-05-2024","1,485.00","1,485.00","1,485.00","1,485.00","","-0.20%"
"09-05-2024","1,488.00","1,488.00","1,488.00","1,488.00","","0.74%"
"08-05-2024","1,477.00","1,477.00","1,477.00","1,477.00","","1.10%"
"07-05-2024","1,461.00","1,461.00","1,461.00","1,461.00","","0.21%"
"03-05-2024","1,458.00","1,458.00","1,458.00","1,458.00","","-0.55%"
"02-05-2024","1,466.00","1,466.00","1,466.00","1,466.00","","-0.81%"
"01-05-2024","1,478.00","1,478.00","1,478.00","1,478.00","","-0.47%"
"30-04-2024","1,485.00","1,485.00","1,485.00","1,485.00","","-0.47%"
"29-04-2024","1,492.00","1,492.00","1,492.00","1,492.00","","-0.20%"
"26-04-2024","1,495.00","1,495.00","1,495.00","1,495.00","","0.47%"
"25-04-2024","1,488.00","1,488.00","1,488.00","1,488.00","","2.20%"
"24-04-2024","1,456.00","1,456.00","1,456.00","1,456.00","","1.82%"
"23-04-2024","1,430.00","1,430.00","1,430.00","1,430.00","","1.42%"
"22-04-2024","1,410.00","1,410.00","1,410.00","1,410.00","","1.15%"
"19-04-2024","1,394.00","1,394.00","1,394.00","1,394.00","","2.12%"
"18-04-2024","1,365.00","1,365.00","1,365.00","1,365.00","","2.09%"
"17-04-2024","1,337.00","1,337.00","1,337.00","1,337.00","","1.98%"
"16-04-2024","1,311.00","1,311.00","1,311.00","1,311.00","","2.42%"
"15-04-2024","1,280.00","1,280.00","1,280.00","1,280.00","","0.63%"
"12-04-2024","1,272.00","1,272.00","1,272.00","1,272.00","","0.87%"
"11-04-2024","1,261.00","1,261.00","1,261.00","1,261.00","","0.08%"
"10-04-2024","1,260.00","1,260.00","1,260.00","1,260.00","","0.08%"
"09-04-2024","1,259.00","1,259.00","1,259.00","1,259.00","","0.08%"
"08-04-2024","1,258.00","1,258.00","1,258.00","1,258.00","","-0.24%"
"05-04-2024","1,261.00","1,261.00","1,261.00","1,261.00","","-0.94%"
"04-04-2024","1,273.00","1,273.00","1,273.00","1,273.00","","-0.86%"
"03-04-2024","1,284.00","1,284.00","1,284.00","1,284.00","","-1.46%"
"02-04-2024","1,303.00","1,303.00","1,303.00","1,303.00","","-2.10%"
"28-03-2024","1,331.00","1,331.00","1,331.00","1,331.00","","-1.63%"
"27-03-2024","1,353.00","1,353.00","1,353.00","1,353.00","","-1.60%"
"26-03-2024","1,375.00","1,375.00","1,375.00","1,375.00","","-0.79%"
"25-03-2024","1,386.00","1,386.00","1,386.00","1,386.00","","0.22%"
"22-03-2024","1,383.00","1,383.00","1,383.00","1,383.00","","0.29%"
"21-03-2024","1,379.00","1,379.00","1,379.00","1,379.00","","0.66%"
"20-03-2024","1,370.00","1,370.00","1,370.00","1,370.00","","1.41%"
"19-03-2024","1,351.00","1,351.00","1,351.00","1,351.00","","0.97%"
"18-03-2024","1,338.00","1,338.00","1,338.00","1,338.00","","0.90%"
"15-03-2024","1,326.00","1,326.00","1,326.00","1,326.00","","0.91%"
"14-03-2024","1,314.00","1,314.00","1,314.00","1,314.00","","1.00%"
"13-03-2024","1,301.00","1,301.00","1,301.00","1,301.00","","-0.38%"
"12-03-2024","1,306.00","1,306.00","1,306.00","1,306.00","","-0.76%"
"11-03-2024","1,316.00","1,316.00","1,316.00","1,316.00","","-0.15%"
"08-03-2024","1,318.00","1,318.00","1,318.00","1,318.00","","0.08%"
"07-03-2024","1,317.00","1,317.00","1,317.00","1,317.00","","0.38%"
"06-03-2024","1,312.00","1,312.00","1,312.00","1,312.00","","1.16%"
"05-03-2024","1,297.00","1,297.00","1,297.00","1,297.00","","1.17%"
"04-03-2024","1,282.00","1,282.00","1,282.00","1,282.00","","1.18%"
"01-03-2024","1,267.00","1,267.00","1,267.00","1,267.00","","0.80%"
"29-02-2024","1,257.00","1,257.00","1,257.00","1,257.00","","1.45%"
"28-02-2024","1,239.00","1,239.00","1,239.00","1,239.00","","1.56%"
"27-02-2024","1,220.00","1,220.00","1,220.00","1,220.00","","1.84%"
"26-02-2024","1,198.00","1,198.00","1,198.00","1,198.00","","0.76%"
"23-02-2024","1,189.00","1,189.00","1,189.00","1,189.00","","1.28%"
"22-02-2024","1,174.00","1,174.00","1,174.00","1,174.00","","1.73%"
"21-02-2024","1,154.00","1,154.00","1,154.00","1,154.00","","2.21%"
"20-02-2024","1,129.00","1,129.00","1,129.00","1,129.00","","3.58%"
"19-02-2024","1,090.00","1,090.00","1,090.00","1,090.00","","1.77%"
"16-02-2024","1,071.00","1,071.00","1,071.00","1,071.00","","1.23%"
"15-02-2024","1,058.00","1,058.00","1,058.00","1,058.00","","0.57%"
"14-02-2024","1,052.00","1,052.00","1,052.00","1,052.00","","0.48%"
"13-02-2024","1,047.00","1,047.00","1,047.00","1,047.00","","-0.10%"
"12-02-2024","1,048.00","1,048.00","1,048.00","1,048.00","","-0.47%"
"09-02-2024","1,053.00","1,053.00","1,053.00","1,053.00","","0.29%"
"08-02-2024","1,050.00","1,050.00","1,050.00","1,050.00","","0.29%"
"07-02-2024","1,047.00","1,047.00","1,047.00","1,047.00","","0.58%"
"06-02-2024","1,041.00","1,041.00","1,041.00","1,041.00","","0.39%"
"05-02-2024","1,037.00","1,037.00","1,037.00","1,037.00","","-0.38%"
"02-02-2024","1,041.00","1,041.00","1,041.00","1,041.00","","-0.67%"
"01-02-2024","1,048.00","1,048.00","1,048.00","1,048.00","","-0.66%"
"31-01-2024","1,055.00","1,055.00","1,055.00","1,055.00","","-0.57%"
"30-01-2024","1,061.00","1,061.00","1,061.00","1,061.00","","-0.38%"
"29-01-2024","1,065.00","1,065.00","1,065.00","1,065.00","","0.00%"
"26-01-2024","1,065.00","1,065.00","1,065.00","1,065.00","","0.28%"
"25-01-2024","1,062.00","1,062.00","1,062.00","1,062.00","","1.14%"
"24-01-2024","1,050.00","1,050.00","1,050.00","1,050.00","","1.65%"
"23-01-2024","1,033.00","1,033.00","1,033.00","1,033.00","","0.58%"
"22-01-2024","1,027.00","1,027.00","1,027.00","1,027.00","","-0.29%"
"19-01-2024","1,030.00","1,030.00","1,030.00","1,030.00","","0.10%"
"18-01-2024","1,029.00","1,029.00","1,029.00","1,029.00","","-0.96%"
"17-01-2024","1,039.00","1,039.00","1,039.00","1,039.00","","-1.98%"
"16-01-2024","1,060.00","1,060.00","1,060.00","1,060.00","","-1.67%"
"15-01-2024","1,078.00","1,078.00","1,078.00","1,078.00","","-0.92%"
"12-01-2024","1,088.00","1,088.00","1,088.00","1,088.00","","-1.81%"
"11-01-2024","1,108.00","1,108.00","1,108.00","1,108.00","","-2.38%"
"10-01-2024","1,135.00","1,135.00","1,135.00","1,135.00","","-2.32%"
"09-01-2024","1,162.00","1,162.00","1,162.00","1,162.00","","-2.68%"
"08-01-2024","1,194.00","1,194.00","1,194.00","1,194.00","","-1.49%"
"05-01-2024","1,212.00","1,212.00","1,212.00","1,212.00","","-1.94%"
"04-01-2024","1,236.00","1,236.00","1,236.00","1,236.00","","-2.75%"
"03-01-2024","1,271.00","1,271.00","1,271.00","1,271.00","","-2.83%"
"02-01-2024","1,308.00","1,308.00","1,308.00","1,308.00","","-4.46%"
"22-12-2023","1,369.00","1,369.00","1,369.00","1,369.00","","-0.65%"
"21-12-2023","1,378.00","1,378.00","1,378.00","1,378.00","","-1.36%"
"20-12-2023","1,397.00","1,397.00","1,397.00","1,397.00","","-0.78%"
"19-12-2023","1,408.00","1,408.00","1,408.00","1,408.00","","-0.78%"
"18-12-2023","1,419.00","1,419.00","1,419.00","1,419.00","","-0.49%"
"15-12-2023","1,426.00","1,426.00","1,426.00","1,426.00","","-1.11%"
"14-12-2023","1,442.00","1,442.00","1,442.00","1,442.00","","-1.44%"
"13-12-2023","1,463.00","1,463.00","1,463.00","1,463.00","","-1.15%"
"12-12-2023","1,480.00","1,480.00","1,480.00","1,480.00","","-1.73%"
"11-12-2023","1,506.00","1,506.00","1,506.00","1,506.00","","-0.99%"
"08-12-2023","1,521.00","1,521.00","1,521.00","1,521.00","","-1.11%"
"07-12-2023","1,538.00","1,538.00","1,538.00","1,538.00","","-0.90%"
"06-12-2023","1,552.00","1,552.00","1,552.00","1,552.00","","-0.83%"
"05-12-2023","1,565.00","1,565.00","1,565.00","1,565.00","","2.56%"
"04-12-2023","1,526.00","1,526.00","1,526.00","1,526.00","","2.48%"
"01-12-2023","1,489.00","1,489.00","1,489.00","1,489.00","","4.49%"
"30-11-2023","1,425.00","1,425.00","1,425.00","1,425.00","","4.78%"
"29-11-2023","1,360.00","1,360.00","1,360.00","1,360.00","","2.95%"
"28-11-2023","1,321.00","1,321.00","1,321.00","1,321.00","","2.24%"
"27-11-2023","1,292.00","1,292.00","1,292.00","1,292.00","","1.02%"
"24-11-2023","1,279.00","1,279.00","1,279.00","1,279.00","","1.11%"
"23-11-2023","1,265.00","1,265.00","1,265.00","1,265.00","","1.44%"
"22-11-2023","1,247.00","1,247.00","1,247.00","1,247.00","","1.22%"
"21-11-2023","1,232.00","1,232.00","1,232.00","1,232.00","","1.23%"
"20-11-2023","1,217.00","1,217.00","1,217.00","1,217.00","","1.00%"
"17-11-2023","1,205.00","1,205.00","1,205.00","1,205.00","","2.29%"
"16-11-2023","1,178.00","1,178.00","1,178.00","1,178.00","","3.24%"
"15-11-2023","1,141.00","1,141.00","1,141.00","1,141.00","","0.71%"
"14-11-2023","1,133.00","1,133.00","1,133.00","1,133.00","","0.53%"
