Date,Price,Open,High,Low,Vol.,Change %
09/24/2020,1361.0,1361.0,1361.0,1361.0,,1.64%
09/25/2020,1380.0,1380.0,1380.0,1380.0,,1.40%
09/28/2020,1390.0,1390.0,1390.0,1390.0,,0.72%
09/29/2020,1391.0,1391.0,1391.0,1391.0,,0.07%
09/30/2020,1374.0,1374.0,1374.0,1374.0,,-1.22%
10/01/2020,1364.0,1364.0,1364.0,1364.0,,-0.73%
10/02/2020,1373.0,1373.0,1373.0,1373.0,,0.66%
10/05/2020,1383.0,1383.0,1383.0,1383.0,,0.73%
10/06/2020,1394.0,1394.0,1394.0,1394.0,,0.80%
10/07/2020,1410.0,1410.0,1410.0,1410.0,,1.15%
10/08/2020,1428.0,1428.0,1428.0,1428.0,,1.28%
10/09/2020,1439.0,1439.0,1439.0,1439.0,,0.77%
10/12/2020,1443.0,1443.0,1443.0,1443.0,,0.28%
10/13/2020,1436.0,1436.0,1436.0,1436.0,,-0.49%
10/14/2020,1413.0,1413.0,1413.0,1413.0,,-1.60%
10/15/2020,1365.0,1365.0,1365.0,1365.0,,-3.40%
10/16/2020,1323.0,1323.0,1323.0,1323.0,,-3.08%
10/19/2020,1298.0,1298.0,1298.0,1298.0,,-1.89%
10/20/2020,1273.0,1273.0,1273.0,1273.0,,-1.93%
10/21/2020,1257.0,1257.0,1257.0,1257.0,,-1.26%
10/22/2020,1255.0,1255.0,1255.0,1255.0,,-0.16%
10/23/2020,1274.0,1274.0,1274.0,1274.0,,1.51%
10/26/2020,1291.0,1291.0,1291.0,1291.0,,1.33%
10/27/2020,1295.0,1295.0,1295.0,1295.0,,0.31%
10/28/2020,1300.0,1300.0,1300.0,1300.0,,0.39%
10/29/2020,1297.0,1297.0,1297.0,1297.0,,-0.23%
10/30/2020,1289.0,1289.0,1289.0,1289.0,,-0.62%
11/02/2020,1275.0,1275.0,1275.0,1275.0,,-1.09%
11/03/2020,1250.0,1250.0,1250.0,1250.0,,-1.96%
11/04/2020,1231.0,1231.0,1231.0,1231.0,,-1.52%
11/05/2020,1209.0,1209.0,1209.0,1209.0,,-1.79%
11/06/2020,1190.0,1190.0,1190.0,1190.0,,-1.57%
11/09/2020,1181.0,1181.0,1181.0,1181.0,,-0.76%
11/10/2020,1170.0,1170.0,1170.0,1170.0,,-0.93%
11/11/2020,1165.0,1165.0,1165.0,1165.0,,-0.43%
11/12/2020,1177.0,1177.0,1177.0,1177.0,,1.03%
11/13/2020,1198.0,1198.0,1198.0,1198.0,,1.78%
11/16/2020,1214.0,1214.0,1214.0,1214.0,,1.34%
11/17/2020,1252.0,1252.0,1252.0,1252.0,,3.13%
11/18/2020,1291.0,1291.0,1291.0,1291.0,,3.12%
11/19/2020,1326.0,1326.0,1326.0,1326.0,,2.71%
11/20/2020,1353.0,1353.0,1353.0,1353.0,,2.04%
11/23/2020,1384.0,1384.0,1384.0,1384.0,,2.29%
11/24/2020,1398.0,1398.0,1398.0,1398.0,,1.01%
11/25/2020,1413.0,1413.0,1413.0,1413.0,,1.07%
11/26/2020,1426.0,1426.0,1426.0,1426.0,,0.92%
11/27/2020,1429.0,1429.0,1429.0,1429.0,,0.21%
11/30/2020,1427.0,1427.0,1427.0,1427.0,,-0.14%
12/01/2020,1410.0,1410.0,1410.0,1410.0,,-1.19%
12/02/2020,1379.0,1379.0,1379.0,1379.0,,-2.20%
12/03/2020,1345.0,1345.0,1345.0,1345.0,,-2.47%
12/04/2020,1331.0,1331.0,1331.0,1331.0,,-1.04%
12/07/2020,1325.0,1325.0,1325.0,1325.0,,-0.45%
12/08/2020,1344.0,1344.0,1344.0,1344.0,,1.43%
12/09/2020,1388.0,1388.0,1388.0,1388.0,,3.27%
12/10/2020,1427.0,1427.0,1427.0,1427.0,,2.81%
12/11/2020,1465.0,1465.0,1465.0,1465.0,,2.66%
12/14/2020,1485.0,1485.0,1485.0,1485.0,,1.37%
12/15/2020,1491.0,1491.0,1491.0,1491.0,,0.40%
12/16/2020,1466.0,1466.0,1466.0,1466.0,,-1.68%
12/17/2020,1433.0,1433.0,1433.0,1433.0,,-2.25%
12/18/2020,1402.0,1402.0,1402.0,1402.0,,-2.16%
12/21/2020,1377.0,1377.0,1377.0,1377.0,,-1.78%
12/22/2020,1352.0,1352.0,1352.0,1352.0,,-1.82%
12/23/2020,1333.0,1333.0,1333.0,1333.0,,-1.41%
12/24/2020,1325.0,1325.0,1325.0,1325.0,,-0.60%
01/04/2021,1364.0,1364.0,1364.0,1364.0,,2.94%
01/05/2021,1422.0,1422.0,1422.0,1422.0,,4.25%
01/06/2021,1463.0,1463.0,1463.0,1463.0,,2.88%
01/07/2021,1504.0,1504.0,1504.0,1504.0,,2.80%
01/08/2021,1559.0,1559.0,1559.0,1559.0,,3.66%
01/11/2021,1620.0,1620.0,1620.0,1620.0,,3.91%
01/12/2021,1645.0,1645.0,1645.0,1645.0,,1.54%
01/13/2021,1645.0,1645.0,1645.0,1645.0,,0.00%
01/14/2021,1618.0,1618.0,1618.0,1618.0,,-1.64%
01/15/2021,1616.0,1616.0,1616.0,1616.0,,-0.12%
01/18/2021,1618.0,1618.0,1618.0,1618.0,,0.12%
01/19/2021,1612.0,1612.0,1612.0,1612.0,,-0.37%
01/20/2021,1617.0,1617.0,1617.0,1617.0,,0.31%
01/21/2021,1639.0,1639.0,1639.0,1639.0,,1.36%
01/22/2021,1659.0,1659.0,1659.0,1659.0,,1.22%
01/25/2021,1665.0,1665.0,1665.0,1665.0,,0.36%
01/26/2021,1660.0,1660.0,1660.0,1660.0,,-0.30%
01/27/2021,1645.0,1645.0,1645.0,1645.0,,-0.90%
01/28/2021,1631.0,1631.0,1631.0,1631.0,,-0.85%
01/29/2021,1633.0,1633.0,1633.0,1633.0,,0.12%
02/01/2021,1630.0,1630.0,1630.0,1630.0,,-0.18%
02/02/2021,1624.0,1624.0,1624.0,1624.0,,-0.37%
02/03/2021,1623.0,1623.0,1623.0,1623.0,,-0.06%
02/04/2021,1629.0,1629.0,1629.0,1629.0,,0.37%
02/05/2021,1662.0,1662.0,1662.0,1662.0,,2.03%
02/08/2021,1689.0,1689.0,1689.0,1689.0,,1.62%
02/09/2021,1740.0,1740.0,1740.0,1740.0,,3.02%
02/10/2021,1797.0,1797.0,1797.0,1797.0,,3.28%
02/11/2021,1871.0,1871.0,1871.0,1871.0,,4.12%
02/12/2021,1944.0,1944.0,1944.0,1944.0,,3.90%
02/15/2021,1997.0,1997.0,1997.0,1997.0,,2.73%
02/16/2021,2172.0,2172.0,2172.0,2172.0,,8.76%
02/17/2021,2518.0,2518.0,2518.0,2518.0,,15.93%
02/18/2021,2471.0,2471.0,2471.0,2471.0,,-1.87%
02/19/2021,2332.0,2332.0,2332.0,2332.0,,-5.63%
02/22/2021,2321.0,2321.0,2321.0,2321.0,,-0.47%
02/23/2021,2306.0,2306.0,2306.0,2306.0,,-0.65%
02/24/2021,2276.0,2276.0,2276.0,2276.0,,-1.30%
02/25/2021,2208.0,2208.0,2208.0,2208.0,,-2.99%
02/26/2021,2140.0,2140.0,2140.0,2140.0,,-3.08%
03/01/2021,2086.0,2086.0,2086.0,2086.0,,-2.52%
03/02/2021,2100.0,2100.0,2100.0,2100.0,,0.67%
03/03/2021,2161.0,2161.0,2161.0,2161.0,,2.90%
03/04/2021,2212.0,2212.0,2212.0,2212.0,,2.36%
03/05/2021,2241.0,2241.0,2241.0,2241.0,,1.31%
03/08/2021,2258.0,2258.0,2258.0,2258.0,,0.76%
03/09/2021,2238.0,2238.0,2238.0,2238.0,,-0.89%
03/10/2021,2218.0,2218.0,2218.0,2218.0,,-0.89%
03/11/2021,2217.0,2217.0,2217.0,2217.0,,-0.05%
03/12/2021,2242.0,2242.0,2242.0,2242.0,,1.13%
03/15/2021,2272.0,2272.0,2272.0,2272.0,,1.34%
03/16/2021,2372.0,2372.0,2372.0,2372.0,,4.40%
03/17/2021,2583.0,2583.0,2583.0,2583.0,,8.90%
03/18/2021,2822.0,2822.0,2822.0,2822.0,,9.25%
03/19/2021,2975.0,2975.0,2975.0,2975.0,,5.42%
03/22/2021,3058.0,3058.0,3058.0,3058.0,,2.79%
03/23/2021,2983.0,2983.0,2983.0,2983.0,,-2.45%
03/24/2021,2858.0,2858.0,2858.0,2858.0,,-4.19%
03/25/2021,2834.0,2834.0,2834.0,2834.0,,-0.84%
03/26/2021,2827.0,2827.0,2827.0,2827.0,,-0.25%
03/29/2021,2812.0,2812.0,2812.0,2812.0,,-0.53%
03/30/2021,2723.0,2723.0,2723.0,2723.0,,-3.17%
03/31/2021,2576.0,2576.0,2576.0,2576.0,,-5.40%
04/01/2021,2484.0,2484.0,2484.0,2484.0,,-3.57%
04/06/2021,2431.0,2431.0,2431.0,2431.0,,-2.13%
04/07/2021,2358.0,2358.0,2358.0,2358.0,,-3.00%
04/08/2021,2160.0,2160.0,2160.0,2160.0,,-8.40%
04/09/2021,2003.0,2003.0,2003.0,2003.0,,-7.27%
04/12/2021,1928.0,1928.0,1928.0,1928.0,,-3.74%
04/13/2021,1898.0,1898.0,1898.0,1898.0,,-1.56%
