Date,Price,Open,High,Low,Vol.,Change %
03/04/2020,-353.0,-353.0,-353.0,-353.0,,2.02%
03/05/2020,-307.0,-307.0,-307.0,-307.0,,-13.03%
03/06/2020,-312.0,-312.0,-312.0,-312.0,,1.63%
03/09/2020,-372.0,-372.0,-372.0,-372.0,,19.23%
03/10/2020,-347.0,-347.0,-347.0,-347.0,,-6.72%
03/11/2020,-350.0,-350.0,-350.0,-350.0,,0.86%
03/12/2020,-355.0,-355.0,-355.0,-355.0,,1.43%
03/13/2020,-311.0,-311.0,-311.0,-311.0,,-12.39%
03/16/2020,-293.0,-293.0,-293.0,-293.0,,-5.79%
03/17/2020,-289.0,-289.0,-289.0,-289.0,,-1.37%
03/18/2020,-204.0,-204.0,-204.0,-204.0,,-29.41%
03/19/2020,-166.0,-166.0,-166.0,-166.0,,-18.63%
03/20/2020,-121.0,-121.0,-121.0,-121.0,,-27.11%
03/23/2020,-109.0,-109.0,-109.0,-109.0,,-9.92%
03/24/2020,-110.0,-110.0,-110.0,-110.0,,0.92%
03/25/2020,-113.0,-113.0,-113.0,-113.0,,2.73%
03/26/2020,-106.0,-106.0,-106.0,-106.0,,-6.19%
03/27/2020,-97.0,-97.0,-97.0,-97.0,,-8.49%
03/30/2020,-69.0,-69.0,-69.0,-69.0,,-28.87%
03/31/2020,204.0,204.0,204.0,204.0,,-395.65%
04/01/2020,219.0,219.0,219.0,219.0,,7.35%
04/02/2020,268.0,268.0,268.0,268.0,,22.37%
04/03/2020,319.0,319.0,319.0,319.0,,19.03%
04/06/2020,338.0,338.0,338.0,338.0,,5.96%
04/07/2020,356.0,356.0,356.0,356.0,,5.33%
04/08/2020,425.0,425.0,425.0,425.0,,19.38%
04/09/2020,541.0,541.0,541.0,541.0,,27.29%
04/14/2020,687.0,687.0,687.0,687.0,,26.99%
04/15/2020,794.0,794.0,794.0,794.0,,15.57%
04/16/2020,887.0,887.0,887.0,887.0,,11.71%
04/17/2020,993.0,993.0,993.0,993.0,,11.95%
04/20/2020,1057.0,1057.0,1057.0,1057.0,,6.45%
04/21/2020,1004.0,1004.0,1004.0,1004.0,,-5.01%
04/22/2020,968.0,968.0,968.0,968.0,,-3.59%
04/23/2020,970.0,970.0,970.0,970.0,,0.21%
04/24/2020,964.0,964.0,964.0,964.0,,-0.62%
04/27/2020,962.0,962.0,962.0,962.0,,-0.21%
04/28/2020,945.0,945.0,945.0,945.0,,-1.77%
04/29/2020,926.0,926.0,926.0,926.0,,-2.01%
04/30/2020,895.0,895.0,895.0,895.0,,-3.35%
05/01/2020,820.0,820.0,820.0,820.0,,-8.38%
05/04/2020,743.0,743.0,743.0,743.0,,-9.39%
05/05/2020,669.0,669.0,669.0,669.0,,-9.96%
05/06/2020,519.0,519.0,519.0,519.0,,-22.42%
05/07/2020,461.0,461.0,461.0,461.0,,-11.18%
05/11/2020,292.0,292.0,292.0,292.0,,-36.66%
05/12/2020,123.0,123.0,123.0,123.0,,-57.88%
05/13/2020,-17.0,-17.0,-17.0,-17.0,,-113.82%
05/14/2020,-48.0,-48.0,-48.0,-48.0,,182.35%
05/15/2020,26.0,26.0,26.0,26.0,,-154.17%
05/18/2020,94.0,94.0,94.0,94.0,,261.54%
05/19/2020,174.0,174.0,174.0,174.0,,85.11%
05/20/2020,174.0,174.0,174.0,174.0,,0.00%
05/21/2020,180.0,180.0,180.0,180.0,,3.45%
05/22/2020,162.0,162.0,162.0,162.0,,-10.00%
05/26/2020,147.0,147.0,147.0,147.0,,-9.26%
05/27/2020,108.0,108.0,108.0,108.0,,-26.53%
05/28/2020,27.0,27.0,27.0,27.0,,-75.00%
05/29/2020,46.0,46.0,46.0,46.0,,70.37%
06/01/2020,82.0,82.0,82.0,82.0,,78.26%
06/02/2020,167.0,167.0,167.0,167.0,,103.66%
06/03/2020,356.0,356.0,356.0,356.0,,113.17%
06/04/2020,518.0,518.0,518.0,518.0,,45.51%
06/05/2020,736.0,736.0,736.0,736.0,,42.08%
06/08/2020,810.0,810.0,810.0,810.0,,10.05%
06/09/2020,859.0,859.0,859.0,859.0,,6.05%
06/10/2020,1039.0,1039.0,1039.0,1039.0,,20.95%
06/11/2020,1300.0,1300.0,1300.0,1300.0,,25.12%
06/12/2020,1523.0,1523.0,1523.0,1523.0,,17.15%
06/15/2020,1648.0,1648.0,1648.0,1648.0,,8.21%
06/16/2020,1854.0,1854.0,1854.0,1854.0,,12.50%
06/17/2020,2455.0,2455.0,2455.0,2455.0,,32.42%
06/18/2020,3672.0,3672.0,3672.0,3672.0,,49.57%
06/19/2020,3819.0,3819.0,3819.0,3819.0,,4.00%
06/22/2020,3791.0,3791.0,3791.0,3791.0,,-0.73%
06/23/2020,3976.0,3976.0,3976.0,3976.0,,4.88%
06/24/2020,4189.0,4189.0,4189.0,4189.0,,5.36%
06/25/2020,4213.0,4213.0,4213.0,4213.0,,0.57%
06/26/2020,4219.0,4219.0,4219.0,4219.0,,0.14%
06/29/2020,4325.0,4325.0,4325.0,4325.0,,2.51%
06/30/2020,4320.0,4320.0,4320.0,4320.0,,-0.12%
07/01/2020,4233.0,4233.0,4233.0,4233.0,,-2.01%
07/02/2020,4264.0,4264.0,4264.0,4264.0,,0.73%
07/03/2020,4440.0,4440.0,4440.0,4440.0,,4.13%
07/06/2020,4071.0,4071.0,4071.0,4071.0,,-8.31%
07/07/2020,3968.0,3968.0,3968.0,3968.0,,-2.53%
07/08/2020,3570.0,3570.0,3570.0,3570.0,,-10.03%
07/09/2020,3386.0,3386.0,3386.0,3386.0,,-5.15%
07/10/2020,3333.0,3333.0,3333.0,3333.0,,-1.57%
07/13/2020,3251.0,3251.0,3251.0,3251.0,,-2.46%
07/14/2020,3082.0,3082.0,3082.0,3082.0,,-5.20%
07/15/2020,2941.0,2941.0,2941.0,2941.0,,-4.57%
07/16/2020,2971.0,2971.0,2971.0,2971.0,,1.02%
07/17/2020,3025.0,3025.0,3025.0,3025.0,,1.82%
07/20/2020,2950.0,2950.0,2950.0,2950.0,,-2.48%
07/21/2020,2729.0,2729.0,2729.0,2729.0,,-7.49%
07/22/2020,2426.0,2426.0,2426.0,2426.0,,-11.10%
07/23/2020,2236.0,2236.0,2236.0,2236.0,,-7.83%
07/24/2020,2084.0,2084.0,2084.0,2084.0,,-6.80%
07/27/2020,2052.0,2052.0,2052.0,2052.0,,-1.54%
07/28/2020,1992.0,1992.0,1992.0,1992.0,,-2.92%
07/29/2020,2137.0,2137.0,2137.0,2137.0,,7.28%
07/30/2020,2210.0,2210.0,2210.0,2210.0,,3.42%
07/31/2020,2206.0,2206.0,2206.0,2206.0,,-0.18%
08/03/2020,2297.0,2297.0,2297.0,2297.0,,4.13%
08/04/2020,2494.0,2494.0,2494.0,2494.0,,8.58%
08/05/2020,2458.0,2458.0,2458.0,2458.0,,-1.44%
08/06/2020,2464.0,2464.0,2464.0,2464.0,,0.24%
08/07/2020,2401.0,2401.0,2401.0,2401.0,,-2.56%
08/10/2020,2375.0,2375.0,2375.0,2375.0,,-1.08%
08/11/2020,2316.0,2316.0,2316.0,2316.0,,-2.48%
08/12/2020,2332.0,2332.0,2332.0,2332.0,,0.69%
08/13/2020,2384.0,2384.0,2384.0,2384.0,,2.23%
08/14/2020,2402.0,2402.0,2402.0,2402.0,,0.76%
08/17/2020,2400.0,2400.0,2400.0,2400.0,,-0.08%
08/18/2020,2375.0,2375.0,2375.0,2375.0,,-1.04%
08/19/2020,2347.0,2347.0,2347.0,2347.0,,-1.18%
08/20/2020,2239.0,2239.0,2239.0,2239.0,,-4.60%
08/21/2020,2160.0,2160.0,2160.0,2160.0,,-3.53%
08/24/2020,2207.0,2207.0,2207.0,2207.0,,2.18%
08/25/2020,2293.0,2293.0,2293.0,2293.0,,3.90%
08/26/2020,2278.0,2278.0,2278.0,2278.0,,-0.65%
08/27/2020,2264.0,2264.0,2264.0,2264.0,,-0.61%
08/28/2020,2218.0,2218.0,2218.0,2218.0,,-2.03%
09/01/2020,2176.0,2176.0,2176.0,2176.0,,-1.89%
09/02/2020,2127.0,2127.0,2127.0,2127.0,,-2.25%
09/03/2020,2019.0,2019.0,2019.0,2019.0,,-5.08%
09/04/2020,1960.0,1960.0,1960.0,1960.0,,-2.92%
09/07/2020,1942.0,1942.0,1942.0,1942.0,,-0.92%
09/08/2020,1916.0,1916.0,1916.0,1916.0,,-1.34%
09/09/2020,1867.0,1867.0,1867.0,1867.0,,-2.56%
09/10/2020,1818.0,1818.0,1818.0,1818.0,,-2.62%
09/11/2020,1839.0,1839.0,1839.0,1839.0,,1.16%
09/14/2020,1898.0,1898.0,1898.0,1898.0,,3.21%
09/15/2020,1922.0,1922.0,1922.0,1922.0,,1.26%
09/16/2020,1889.0,1889.0,1889.0,1889.0,,-1.72%
09/17/2020,1914.0,1914.0,1914.0,1914.0,,1.32%
09/18/2020,1900.0,1900.0,1900.0,1900.0,,-0.73%
09/21/2020,1940.0,1940.0,1940.0,1940.0,,2.11%
09/22/2020,2078.0,2078.0,2078.0,2078.0,,7.11%
09/23/2020,2242.0,2242.0,2242.0,2242.0,,7.89%
09/24/2020,2754.0,2754.0,2754.0,2754.0,,22.84%
09/25/2020,2915.0,2915.0,2915.0,2915.0,,5.85%
09/28/2020,2862.0,2862.0,2862.0,2862.0,,-1.82%
09/29/2020,2871.0,2871.0,2871.0,2871.0,,0.31%
09/30/2020,3091.0,3091.0,3091.0,3091.0,,7.66%
10/01/2020,3537.0,3537.0,3537.0,3537.0,,14.43%
10/02/2020,3987.0,3987.0,3987.0,3987.0,,12.72%
10/05/2020,4135.0,4135.0,4135.0,4135.0,,3.71%
10/06/2020,4208.0,4208.0,4208.0,4208.0,,1.77%
10/07/2020,4035.0,4035.0,4035.0,4035.0,,-4.11%
10/08/2020,3799.0,3799.0,3799.0,3799.0,,-5.85%
10/09/2020,3555.0,3555.0,3555.0,3555.0,,-6.42%
10/12/2020,3296.0,3296.0,3296.0,3296.0,,-7.29%
10/13/2020,3074.0,3074.0,3074.0,3074.0,,-6.74%
10/14/2020,2810.0,2810.0,2810.0,2810.0,,-8.59%
10/15/2020,2621.0,2621.0,2621.0,2621.0,,-6.73%
10/16/2020,2406.0,2406.0,2406.0,2406.0,,-8.20%
10/19/2020,2219.0,2219.0,2219.0,2219.0,,-7.77%
10/20/2020,2064.0,2064.0,2064.0,2064.0,,-6.99%
10/21/2020,2068.0,2068.0,2068.0,2068.0,,0.19%
10/22/2020,2235.0,2235.0,2235.0,2235.0,,8.08%
10/23/2020,2261.0,2261.0,2261.0,2261.0,,1.16%
10/26/2020,2207.0,2207.0,2207.0,2207.0,,-2.39%
10/27/2020,2244.0,2244.0,2244.0,2244.0,,1.68%
10/28/2020,2156.0,2156.0,2156.0,2156.0,,-3.92%
10/29/2020,1903.0,1903.0,1903.0,1903.0,,-11.73%
10/30/2020,1875.0,1875.0,1875.0,1875.0,,-1.47%
11/02/2020,1895.0,1895.0,1895.0,1895.0,,1.07%
11/03/2020,1862.0,1862.0,1862.0,1862.0,,-1.74%
11/04/2020,1771.0,1771.0,1771.0,1771.0,,-4.89%
11/05/2020,1709.0,1709.0,1709.0,1709.0,,-3.50%
11/06/2020,1739.0,1739.0,1739.0,1739.0,,1.76%
11/09/2020,1790.0,1790.0,1790.0,1790.0,,2.93%
11/10/2020,1782.0,1782.0,1782.0,1782.0,,-0.45%
11/11/2020,1613.0,1613.0,1613.0,1613.0,,-9.48%
11/12/2020,1550.0,1550.0,1550.0,1550.0,,-3.91%
11/13/2020,1507.0,1507.0,1507.0,1507.0,,-2.77%
11/16/2020,1481.0,1481.0,1481.0,1481.0,,-1.73%
11/17/2020,1450.0,1450.0,1450.0,1450.0,,-2.09%
11/18/2020,1414.0,1414.0,1414.0,1414.0,,-2.48%
11/19/2020,1430.0,1430.0,1430.0,1430.0,,1.13%
11/20/2020,1435.0,1435.0,1435.0,1435.0,,0.35%
11/23/2020,1450.0,1450.0,1450.0,1450.0,,1.05%
11/24/2020,1447.0,1447.0,1447.0,1447.0,,-0.21%
11/25/2020,1469.0,1469.0,1469.0,1469.0,,1.52%
11/26/2020,1509.0,1509.0,1509.0,1509.0,,2.72%
11/27/2020,1533.0,1533.0,1533.0,1533.0,,1.59%
11/30/2020,1522.0,1522.0,1522.0,1522.0,,-0.72%
12/01/2020,1487.0,1487.0,1487.0,1487.0,,-2.30%
12/02/2020,1486.0,1486.0,1486.0,1486.0,,-0.07%
12/03/2020,1480.0,1480.0,1480.0,1480.0,,-0.40%
12/04/2020,1520.0,1520.0,1520.0,1520.0,,2.70%
12/07/2020,1419.0,1419.0,1419.0,1419.0,,-6.64%
12/08/2020,1279.0,1279.0,1279.0,1279.0,,-9.87%
12/09/2020,1241.0,1241.0,1241.0,1241.0,,-2.97%
12/10/2020,1320.0,1320.0,1320.0,1320.0,,6.37%
12/11/2020,1434.0,1434.0,1434.0,1434.0,,8.64%
